Name,DOB,SSN,Zip,Age
Wally Maddick,7/3/05,708-02-3982,19497,30
Wally Witherspoon,11/29/89,374-68-3632,84401,37
Walsh Andreopolos,7/9/75,590-80-2321,87301,28
Walsh Buller,1/7/05,807-79-9019,93564,46
Walsh Cuniffe,4/13/64,466-27-6752,85094,53
Walsh Fido,1/13/93,451-61-2040,54278,50
Walsh Geroldo,6/9/52,655-37-9465,28263,67
Walsh Goodswen,3/8/70,713-66-0729,30524,42
Walsh Labell,6/26/71,573-58-4474,90806,17
Walsh Thurlow,8/17/55,564-92-5034,19085,40
Walt Bullivant,6/20/07,663-62-0056,26446,31
Walt Cordeau,3/4/91,395-33-3311,9863,35
Walt Filippo,2/10/67,356-45-6156,75354,22
Walther Girard,3/2/65,719-50-8445,24976,24
Walther Hatt,11/18/85,737-79-6658,26452,31
Walther Koschek,9/29/55,464-81-6029,27899,42
Walther Lagen,8/18/84,635-11-9857,76902,31
Walther Larraway,1/3/62,439-13-6221,78792,37
Walther Moring,1/23/98,252-43-0693,56112,18
Walton Brayshaw,11/25/78,502-83-6639,22867,48
Walton Damrel,12/24/72,729-59-2130,25244,27
Walton Farlamb,1/28/78,128-28-0733,38501,34
Walton Nobriga,1/17/56,328-49-6068,28450,50
Walton O'Corhane,11/14/84,840-99-9731,2743,32
Waly Brompton,4/28/94,158-68-2073,97762,50
Waly Jirieck,4/24/99,777-70-0522,15606,41
Wanda Eilhart,3/16/08,822-65-5109,17296,62
Wanda Vashchenko,3/3/97,613-82-9434,27660,30
Wandie Cutford,10/30/99,894-45-5247,92831,55
Wandie Fenby,10/1/86,323-23-4451,47406,46
Wandie Ferney,3/10/06,553-90-8440,4697,48
Wandie Pennacci,7/18/75,866-40-9973,49618,54
Wandie Plante,5/13/65,188-43-4688,20968,70
Wandie Syncke,2/8/72,637-03-1022,15762,27
Wandis Croyser,2/15/59,759-75-4205,2671,30
Wandis Dennerly,5/28/07,464-94-1854,38619,29
Wandis Le Fleming,11/23/55,693-41-0241,80250,53
Wandis Scougal,11/11/93,414-39-7876,57922,66
Waneta Duddan,7/2/80,118-17-2013,57204,27
Waneta Klimmek,10/16/93,690-81-1856,94605,47
Wang Pittam,11/6/52,641-50-9936,6809,23
Wang Slaight,5/3/10,758-09-7373,48665,28
Wanids Benito,11/29/57,466-02-8673,94011,59
Wanids Busk,9/13/52,387-13-8674,58179,37
Wanids Gandley,8/8/96,685-46-6469,83700,22
Wanids Guinness,1/15/81,549-80-9418,88907,24
Wanids Petera,4/24/54,615-53-1845,51920,26
Wanids Saffer,4/10/85,318-85-2308,81970,51
Ward Canas,2/1/66,474-10-6279,51373,59
Ward Vertey,4/7/95,289-33-9034,58794,24
Ward Wombwell,7/3/62,454-07-6436,66731,61
Warde Andriuzzi,9/28/99,431-67-4326,96092,49
Warde Brittle,4/7/76,850-04-7397,58480,34
Warde Pullman,8/25/82,473-83-2196,33925,39
Warde Quilligan,3/4/73,583-99-0024,310,17
Warde Southam,10/29/75,433-25-1190,57514,51
Warden Abbey,12/20/64,416-25-2920,62974,36
Warden Conichie,1/9/86,218-16-4552,38495,47
Warden McClounan,7/6/12,148-65-4396,57655,31
Ware Clem,7/8/12,592-05-7840,6177,23
Ware Edsell,2/4/10,520-59-8640,80033,40
Ware I'anson,4/23/82,722-24-0823,77752,34
Ware Odams,11/10/68,168-62-2764,83003,48
Ware Scudamore,5/21/72,637-38-8439,64785,26
Ware Taggert,1/14/77,299-46-2909,37610,31
Waring Frise,1/28/64,540-12-7949,87269,52
Waring Pessolt,10/2/64,641-42-4807,77811,41
Waring Refford,10/12/87,213-98-7095,73048,37
Waring Tuft,2/16/02,581-97-4446,60715,56
Warner Backshaw,11/2/92,602-35-1735,16064,38
Warner Farncombe,1/23/83,372-35-5522,54055,27
Warren Danks,4/21/89,635-06-1896,6731,19
Warren Marsie,11/7/91,145-31-5912,43162,34
Warren Mitro,2/12/97,289-23-5158,85200,37
Wash Gives,8/10/12,251-65-4668,61491,36
Wash Massow,8/16/61,178-12-1936,787,33
Wash Rodie,1/25/56,546-93-4123,50988,38
Wash Stapley,1/7/58,671-92-9427,39247,30
Washington Boswell,1/10/55,433-58-2662,64884,19
Washington Grundy,9/17/11,332-95-2854,51024,35
Washington Haliburn,4/4/92,398-60-6198,41238,48
Wat Eyden,12/28/94,620-26-5239,93646,40
Wat Glacken,9/26/81,872-36-8611,73233,35
Wat Hellyer,2/7/99,554-02-0066,72377,27
Waverley Pratte,2/27/60,487-31-6731,95633,33
Waverley Turban,12/28/88,877-48-7849,49517,42
Waverly Canas,5/24/68,817-13-1216,24695,50
Waverly Housbie,11/26/05,349-82-4615,97146,33
Waverly Withinshaw,6/19/58,799-19-0754,93510,22
Way Batcheldor,4/15/05,154-21-5473,73483,47
Way Dowsett,10/18/58,268-98-1286,29291,58
Way Stavers,4/20/64,216-68-2001,84454,26
Way Yorkston,12/2/53,863-47-6734,80998,20
Waylan Bassham,8/1/83,203-65-3579,93547,37
Waylan Gunn,1/19/98,437-75-1167,41472,19
Waylan MacAllaster,10/28/10,356-99-8851,82511,34
Waylan MacKee,10/31/84,865-01-4216,3085,62
Waylan McKerton,1/16/90,594-67-0265,77546,26
Waylan Savin,3/20/04,563-74-8788,26684,34
Wayland Hakonsen,2/11/82,545-17-5880,41259,28
Wayland Hamil,5/18/78,678-31-1842,89883,35
Wayland MacEvilly,3/5/75,447-30-8009,55497,50
Wayland Newland,10/13/60,398-30-0889,89286,55
Waylen Groome,3/16/06,777-95-5937,86347,27
Waylen Karolyi,1/25/77,194-93-0907,61121,27
Waylen McNess,4/11/84,519-10-2626,72463,41
Waylen Neicho,8/14/05,429-16-9317,79917,46
Waylen Newburn,1/2/99,606-60-2074,25249,28
Waylen Redsell,11/16/76,832-64-2643,34242,18
Waylen Schwaiger,12/17/53,748-95-8852,15680,36
Waylin Harkins,12/8/02,110-74-9433,65793,44
Waylin Levensky,10/13/92,356-63-4569,55084,35
Waylin Wordsworth,8/8/02,743-44-8712,46596,32
Waylon Dagless,3/6/68,432-08-0340,50317,37
Waylon Griffin,8/26/06,142-81-8675,2823,71
Waylon Lipscombe,5/15/04,648-85-7805,71869,20
Waylon Loxdale,6/13/65,494-15-1732,3203,54
Waylon Pogg,10/27/07,322-92-4558,40420,38
Waylon Sanbroke,8/27/80,708-71-0844,41531,46
Wayne Cogswell,12/15/77,660-48-8429,42589,31
Wayne Ludewig,10/5/86,804-97-5401,28305,48
Wayne Lux,5/10/71,145-85-8049,6285,35
Web Bison,6/9/62,224-48-5062,1553,50
Web Coviello,9/23/62,879-07-0662,26174,41
Web Najafian,12/20/84,379-13-1890,45465,45
Web Spender,9/3/93,711-49-3709,1496,58
Web Wiffill,6/5/73,833-77-3328,58847,60
Weber Costard,8/30/01,859-44-9114,45325,46
Weber Kabsch,11/7/66,394-08-6130,25657,54
Weber Lukas,4/23/95,753-25-6952,99237,30
Webster Kach,8/24/70,221-53-5472,38837,22
Weidar Crozier,4/10/78,582-47-5711,5877,28
Weidar Fowlie,8/28/79,771-31-4212,2490,31
Weidar Plane,11/28/84,372-77-0416,19157,34
Weider Duckels,6/18/08,512-77-2988,38826,79
Weider Kenwright,6/24/71,554-55-7690,79865,59
Weider Pactat,3/9/80,572-60-9003,40044,36
Weider Sygroves,1/23/83,371-66-6356,97248,52
Weider Wyldbore,6/26/69,109-42-2682,71346,33
Welbie Skiggs,6/11/98,243-86-5999,27149,46
Welbie Turbefield,1/5/80,105-52-3548,46764,24
Welby Braden,10/23/57,631-59-9815,37556,66
Welby Chiplin,9/2/89,275-47-8256,82680,53
Welby Courtois,3/31/69,263-24-0232,90141,24
Welby Jachtym,2/28/83,118-72-8358,85006,49
Welch Montez,6/14/09,264-39-8246,85893,52
Welch Toffaloni,2/28/90,137-38-8592,11163,47
Welch Twells,1/16/08,456-62-5031,61128,21
Wells Gaskin,3/15/98,108-65-2270,473,60
Wells Petkens,12/29/07,730-95-4114,6791,39
Welsh Echalier,8/22/80,669-30-5525,40783,66
Welsh Rabjohn,8/17/61,471-29-2070,13065,46
Welsh Tuddenham,7/31/52,545-16-9727,8979,42
Welsh Wiburn,6/13/00,736-24-8612,8243,69
Wenda Daen,8/28/97,521-17-2448,89294,19
Wenda Howison,9/23/60,242-46-6838,12676,45
Wenda Klulisek,2/23/57,600-71-9744,26087,29
Wenda Muldowney,12/6/64,237-67-6881,30850,49
Wenda Yemm,11/10/54,789-77-0043,37621,63
Wendall De Clairmont,4/27/74,531-08-0286,35176,27
Wendall Lawrance,5/14/68,713-80-6508,98806,57
Wendall Oldcote,2/25/93,353-82-7249,95722,45
Wendall Snaddon,9/6/85,408-13-9934,38414,33
Wendel Beaford,7/15/11,406-35-5646,646,31
Wendel Garham,7/5/06,877-65-6995,62741,17
Wendel Kruger,8/3/73,355-64-5323,85127,36
Wendel Leathart,10/6/55,769-19-4137,70485,28
Wendel MacVean,4/13/03,662-50-5508,7016,49
Wendel Salkild,7/16/05,431-42-9800,44687,63
Wendeline Beck,2/2/53,765-80-4710,26748,37
Wendeline Ghelarducci,4/23/59,358-30-9175,71680,48
Wendeline Paeckmeyer,4/19/86,876-37-4077,88274,57
Wendeline Poland,7/7/98,801-68-4219,95996,44
Wendell Dufer,12/15/67,299-07-6909,21188,40
Wendell Hovie,5/8/55,770-20-3476,26095,42
Wendell Monini,12/7/79,521-97-3579,48291,27
Wendell Schwartz,12/19/69,188-64-4581,76006,77
Wendi Bailey,1/4/55,462-96-0800,86495,63
Wendi Conti,5/21/77,440-13-0215,61611,47
Wendi Ebdon,9/16/99,761-89-5353,58628,41
Wendi McGunley,8/17/55,414-72-5910,7066,19
Wendie Newick,4/2/91,592-15-1972,94786,46
Wendie Tadgell,12/28/64,590-96-9475,11148,47
Wendy Bee,3/9/84,254-90-4406,90090,23
Wendy Note,4/24/07,612-10-8690,27637,53
Wendy Rollings,10/11/74,829-99-6229,80219,43
Wendy Smythin,5/15/52,163-93-3744,38765,18
Wendye Dolphin,7/31/68,699-98-1080,40995,35
Wendye Grocutt,10/14/86,391-70-1260,5398,52
Wendye Shipman,6/5/09,416-68-7629,95727,17
Wendye Woolner,7/27/76,282-09-2266,3502,26
Wenona Coker,12/31/95,426-05-6693,34645,59
Wenona Leabeater,10/5/96,330-98-3691,71881,62
Wenona O'Duilleain,9/22/09,359-81-1346,69199,36
Wenona Robertacci,12/11/86,299-23-5814,93885,30
Wenona Stebbings,9/3/82,650-49-3292,32971,17
Wenonah Neesham,9/2/82,224-71-9747,36552,18
Wenonah Niblock,11/4/60,603-78-1311,43135,49
Wenonah Rowling,6/22/91,428-90-2106,85848,17
Werner De Paepe,9/3/96,478-22-4388,26765,51
Werner Kivlin,1/14/73,856-42-5959,22060,18
Werner Ross,7/7/09,823-20-2423,64265,20
Wernher Feasey,8/22/76,849-92-9755,91228,28
Wernher Renzullo,1/11/86,610-43-7640,56250,25
Wernher Sprasen,11/19/99,273-61-3164,7047,36
Wernher Yarham,1/18/07,220-99-7717,83276,20
Wes Mendez,3/18/91,319-54-6018,53473,51
Wes Pachmann,6/3/66,306-98-8149,49118,26
Wes Pennetti,10/15/75,152-84-6645,17853,49
Wesley Bodimeade,5/28/86,381-22-7153,76011,53
Wesley Follan,3/29/71,722-34-4593,71999,43
Wesley Harbach,12/26/03,687-82-5328,46030,29
Wesley Sneesby,4/28/64,338-96-2038,95640,68
West Harriskine,6/14/90,629-03-8911,13565,37
Westbrook Farrell,4/13/86,738-75-8703,87492,32
Westbrook Hounson,6/27/99,770-06-2490,52942,30
Westbrook McMylor,8/16/56,437-09-6482,94825,46
Westbrook Suett,7/27/90,169-92-6167,54677,20
Westbrooke Boscher,10/12/50,799-92-8212,76722,19
Westbrooke Gawthrope,6/14/77,199-44-4449,7878,31
Westbrooke Tinham,12/16/71,729-70-6480,63511,45
Westleigh Million,6/13/86,345-90-3085,4761,41
Westleigh Mungane,1/25/12,368-36-6270,33371,28
Westley Ferran,5/21/94,741-56-2568,2621,29
Westley Gudgen,3/22/00,678-05-1089,61402,41
Westley Kauscher,1/1/57,581-72-6550,20153,54
Westley Lawrinson,3/1/73,107-33-4166,22685,73
Westley Vankov,12/9/08,822-36-7027,15073,60
Weston Artiss,8/4/01,846-80-7760,53353,42
Weston Brooke,11/19/82,130-27-7930,98480,32
Weston Hathway,8/9/86,554-37-8053,5207,41
Weston Hinder,2/12/92,525-35-8085,99888,29
Weston Toop,7/4/61,891-47-2528,92318,33
Weylin Livingston,8/18/08,313-99-8362,44570,27
Weylin Northgraves,9/10/75,479-34-9005,5484,58
Weylin Swaile,9/13/61,193-91-6334,33493,19
Wheeler Batchelor,9/16/75,624-46-2133,43042,24
Wheeler Hutchison,8/8/63,581-52-0561,4564,61
Wheeler McCrainor,4/18/96,785-77-7335,74298,19
Wheeler Saunper,10/14/89,883-63-3125,93149,19
Whitaker Deary,11/9/89,446-16-9179,39254,39
Whitaker Eckart,11/29/65,616-61-6987,96044,34
Whitaker Hutchcraft,11/15/50,539-94-9917,94285,36
Whitaker Yarranton,2/8/83,189-74-0399,25355,58
Whitby Dubique,8/4/53,278-67-9831,51988,41
Whitby Middleweek,3/25/11,186-12-5639,53841,31
Whitby Monget,11/12/58,834-27-0243,39610,40
Whitman Crisell,6/26/65,104-52-8054,77370,26
Whitman McTerrelly,8/16/60,845-97-7663,3670,18
Whitman Turl,2/7/73,711-23-7923,96536,69
Whitney Blest,6/8/93,391-35-0917,72914,37
Whitney Coleson,9/7/53,199-11-4346,5793,25
Whitney Indruch,10/22/93,567-80-5412,1393,43
Whitney Kenforth,1/14/70,880-94-0056,67731,55
Whitney Manderson,12/24/54,875-10-1177,9786,32
Whitney McWhannel,9/9/96,549-10-4104,54215,48
Whitney Terney,2/19/86,511-36-7334,40385,54
Whitney Torre,12/20/79,117-52-2660,57751,22
Whitney Wiggam,4/7/64,336-55-7215,65678,26
Whittaker Beaves,4/7/06,413-56-9300,51631,56
Whittaker Cathcart,7/15/65,491-81-1997,71647,51
Whittaker Colvie,1/9/03,612-42-9943,95628,41
Whittaker Kail,1/9/71,438-63-7563,14408,48
Whittaker Mahedy,11/21/53,647-25-9299,33375,38
Whittaker O' Gara,6/16/91,882-08-5598,53838,49
Whittaker Shallcrass,8/11/84,334-99-1309,520,41
Whittaker Shrawley,11/4/03,864-73-7720,99561,35
Wiatt Lucchi,10/15/92,586-05-9112,31645,23
Wiatt Picton,3/13/75,607-96-1259,30085,29
Wilbert Abazi,8/27/52,452-27-3562,62140,23
Wilbert Aspell,12/30/77,142-41-8929,36691,41
Wilbert Colleran,10/14/54,359-99-2547,60671,49
Wilbert Diggins,11/8/56,609-48-7507,27384,46
Wilbert Doore,1/24/94,300-81-1298,64950,28
Wilbert Duchan,4/29/80,122-16-0672,67495,83
Wilbert Kilgallon,4/26/52,141-18-1579,33059,19
Wilbert Sutherel,7/16/07,777-34-5209,70897,45
Wilbur Rojahn,8/17/06,778-72-1892,28076,31
Wilbur Rumsby,1/28/71,361-61-3786,74543,41
Wilbur Swindall,12/25/08,832-14-6345,19134,63
Wilburt Vedmore,5/12/91,863-05-9216,74095,45
Wilden Alday,1/23/72,388-77-0342,79869,27
Wilden Prantoni,2/10/88,399-73-8686,64186,42
Wilden Tabor,8/5/58,231-31-7243,90593,45
Wildon Goulden,3/20/02,456-79-6091,63841,47
Wildon Ortes,11/25/74,832-28-6115,49769,32
Wileen Hulles,3/28/80,737-94-5067,22097,35
Wileen Skeel,11/5/06,635-39-7743,66586,68
Wileen Tunnoch,4/7/07,855-72-8262,75131,32
Wileen Twiggins,5/28/55,582-63-7064,6312,24
Wilek Kirkwood,9/8/66,636-36-7728,88741,39
Wilek Pilipyak,5/2/79,808-25-1656,22412,34
Wilek Rosenblath,3/26/80,163-90-9381,21986,35
Wilek Spaduzza,3/29/07,730-30-0206,84497,51
Wilek Wrightem,4/6/77,374-29-5948,41975,53
Wiley Arnaudot,11/9/71,151-88-0372,1513,47
Wiley Bendley,12/13/03,687-82-3605,13610,31
Wiley Blinerman,9/19/51,838-20-9469,105,45
Wiley Britzius,4/27/52,541-84-4784,27087,43
Wiley Darey,11/13/91,212-25-9893,86042,59
Wiley Kiloh,6/3/76,729-85-1290,14256,46
Wiley Lubomirski,3/27/02,840-82-2184,56105,41
Wiley Plaunch,6/8/58,480-13-4623,78463,43
Wiley Scholling,5/30/83,847-75-2988,91386,38
Wilfred Siddaley,7/4/79,178-94-1378,29812,69
Wilfrid Aireton,7/10/89,242-12-1470,18949,34
Wilfrid Meikle,4/4/72,467-95-7697,34295,30
Wilfrid Michal,8/26/10,347-74-5597,66674,55
Wilfrid Rackham,11/3/70,765-99-9423,61082,59
Wilfrid Whitesel,1/20/94,554-95-6999,42555,25
Wilhelm Crichton,3/31/56,209-89-7285,19721,36
Wilhelm Warder,11/5/72,476-29-8716,29132,47
Wilhelmina Clementucci,4/19/92,766-14-3684,7860,51
Wilhelmina Penvarne,1/23/97,145-99-0635,97847,42
Wilhelmina Pickle,2/20/09,865-22-8989,81558,46
Wilhelmina Rosbottom,6/11/78,303-69-5619,73133,61
Wilhelmine Grzelak,8/20/72,157-63-1680,91911,29
Wilie Blakeway,4/12/92,886-06-8766,5551,35
Wilie Bowfin,6/5/56,620-46-7606,8542,33
Wilie Gagin,5/11/56,240-91-9878,91689,21
Wilie Klausen,1/25/63,832-73-4777,2168,54
Wilie Sebrens,7/19/87,347-87-0002,61965,30
Wilie Shelborne,2/3/98,681-80-0210,18941,42
Wilie Woodworth,10/10/85,862-91-9150,45283,31
Wilie Yannikov,5/3/66,329-87-1222,59633,28
Will Audritt,12/25/67,542-21-9300,28201,52
Will Barrowcliff,11/5/09,345-95-9329,13595,29
Will Margrett,7/6/79,892-67-7328,35482,32
Will Pumphreys,7/12/89,489-11-7822,90196,30
Will Sisneros,10/16/56,724-64-9345,23271,24
Willa Amorts,2/1/09,799-66-6230,65642,44
Willa Larkcum,9/6/96,310-04-1014,57120,49
Willa Leathem,10/16/77,160-23-4652,864,56
Willa Nan Carrow,5/21/06,159-49-1642,28251,27
Willabella Mapother,4/19/07,600-92-8838,46104,59
Willabella McClurg,11/12/05,177-97-8246,17381,31
Willabella Ockleshaw,4/4/87,563-06-8167,74561,38
Willamina Francescozzi,9/27/03,777-55-8568,15880,27
Willamina McColl,12/12/50,602-73-6453,28002,40
Willamina Silverston,3/23/01,591-25-6936,51176,40
Willamina Slarke,11/11/54,664-52-7421,20985,36
Willamina Waterstone,5/22/60,452-61-3173,40053,49
Willamina Whitlaw,9/30/80,660-61-7741,84181,30
Willard Gillio,7/12/66,748-21-0087,10110,20
Willard Vile,7/1/99,740-94-5435,97994,23
Willdon Mancer,12/20/95,803-71-9383,80659,19
Willdon Parradye,2/7/60,851-67-7774,47070,33
Willdon Peggrem,4/8/82,370-78-7945,35872,24
Willdon Sherme,10/25/66,493-29-2350,88799,47
Willdon Vanyukhin,10/30/78,358-70-2160,73182,46
Willem Hacquard,5/26/92,621-72-0666,97909,21
Willem McCreary,11/5/88,283-50-8161,9241,38
Willem Santos,8/4/72,701-23-4495,92976,27
Willetta Balcers,6/25/61,304-30-9442,59009,65
Willetta Jeste,9/16/67,181-12-1183,32494,42
Willetta Orteu,4/3/97,849-10-0968,26708,45
Willette Gley,6/2/60,436-57-0418,20923,61
Willette Lage,5/18/93,493-83-9802,31458,30
Willette Lambdin,3/18/54,623-90-6798,73372,32
Willey Knowler,4/15/81,229-83-8218,94255,44
Willey Veltmann,1/26/93,240-28-7464,7543,17
Willi Bolesma,3/15/59,372-54-8504,46826,30
Willi Gosney,9/18/61,768-34-1213,29658,19
Willi Ivanyukov,8/30/81,833-33-9124,42798,38
Willi Owbridge,12/21/67,594-21-8292,5256,62
Willi Ruffler,10/7/80,407-41-8338,76749,41
Willi Spellecy,7/1/78,165-63-0075,14711,31
Willi Whithorn,11/10/03,510-21-3680,20347,28
William Baggs,11/18/83,514-75-6186,80472,51
William Cranna,9/27/66,686-32-6824,93343,57
William De Brett,1/1/11,524-81-0936,10986,59
William Medeway,12/17/99,323-01-3963,87886,43
William Menichelli,2/9/74,849-12-5703,70547,70
William Pobjay,2/1/09,787-78-0890,67400,20
William Raiston,10/28/53,638-71-9891,43407,46
William St. John,12/17/07,305-62-8524,13670,34
Willie Behn,5/7/58,199-43-4882,43037,46
Willie Brisbane,9/28/71,497-68-0760,47661,50
Willie Fettis,8/11/12,574-90-5322,21775,44
Willie MacNamara,5/3/95,890-82-4232,91310,55
Willie Tokley,6/3/82,541-60-1740,97436,29
Willie Woodwind,11/24/70,586-99-3011,6693,48
Willis Budnk,10/3/04,899-52-4388,49330,38
Willis Fulop,9/24/93,545-73-0450,63055,52
Willis Hane,7/14/94,622-43-2042,4051,54
Willis Hendonson,1/20/12,606-20-7146,63036,54
Willow Garn,11/14/62,558-66-7613,19628,19
Willow Hasnney,4/19/04,832-84-9351,76433,25
Willow Madine,9/18/05,426-15-2129,11539,32
Willow Pyvis,8/3/83,402-82-5309,6271,32
Willow Terbeek,2/27/83,555-69-6586,73799,46
Willy Berzon,10/16/07,498-97-9449,89811,20
Willy Catt,7/10/05,523-23-7790,40955,47
Willy Greson,3/6/90,321-48-0262,76784,39
Willy Hamner,10/5/51,837-63-4544,86597,47
Willy Jikylls,12/3/86,812-42-6117,94215,21
Willy Langthorne,8/6/95,324-22-9888,50858,23
Willy Lorden,7/7/93,584-85-3962,16177,61
Willy Rubanenko,6/15/07,621-04-9158,88962,46
Willy Shier,5/13/52,328-33-5764,92248,52
Willyt Beadel,10/24/95,233-81-6149,61844,37
Willyt Newvill,7/18/85,220-93-2868,17,32
Willyt Yaakov,5/28/74,265-82-6719,20689,56
Wilma Bembridge,9/18/51,719-21-5966,1716,60
Wilma Flay,11/30/01,632-24-3892,33704,18
Wilma Gherardelli,4/28/73,234-65-2546,2653,32
Wilma Lindeberg,5/3/66,420-65-9484,56784,21
Wilma Lushey,9/16/50,522-06-6765,29409,44
Wilma Wyre,8/29/57,623-38-0583,26376,47
Wilmar Adderson,5/19/10,295-50-9892,39952,55
Wilmar Attewill,3/30/53,659-16-3004,39493,32
Wilmar Crabtree,7/16/87,722-93-2622,52073,33
Wilmar Kollaschek,12/27/01,888-52-3041,56090,32
Wilmar Tivenan,2/22/52,132-99-3611,55607,38
Wilmar Tranckle,4/22/77,167-43-5569,29998,42
Wilmer Henryson,10/29/56,363-07-4201,52202,20
Wilmer Kingsley,6/25/80,639-50-4136,10638,45
Wilmette Balogun,10/6/04,190-32-1669,47199,38
Wilmette Dagworthy,8/28/57,821-60-4506,32346,17
Wilmette Kleinlerer,3/6/97,253-08-2209,57539,33
Wilmette Lightowlers,4/29/06,606-28-0393,41920,20
Wilmette Maddinon,5/10/51,706-74-4453,56811,22
Wilona Laborda,8/30/69,603-32-7576,89239,40
Wilona Sains,11/13/02,129-06-0441,84417,26
Wilona Scholtis,5/30/11,692-34-6272,5334,46
Wilona Skains,9/27/81,227-03-6607,11493,22
Wilone Antoniottii,9/11/60,821-48-6273,71363,40
Wilone Craker,5/6/89,400-46-7733,64039,25
Wilone Dessaur,12/12/82,476-11-9838,27719,22
Wilone Kimber,10/11/03,657-84-8587,63616,51
Wilone Prozescky,8/6/96,792-31-1643,48629,28
Wilone Snowman,8/1/03,855-69-4423,33340,45
Wilone Tant,2/5/99,521-89-9097,43287,36
Wilow Andrzej,2/1/64,705-77-3579,49801,31
Wilow Proschek,1/29/03,361-46-8130,74332,23
Wilt Bladen,4/15/87,335-12-8886,11948,62
Wilt Bodega,1/20/02,113-04-2104,95068,41
Wilt Crowche,7/12/00,607-46-6106,64427,53
Wilt Dary,1/3/56,658-03-0118,50926,24
Wilt Renyard,2/26/78,845-76-1615,7608,62
Wilton Bain,4/23/84,178-67-9742,46445,35
Wilton Barnet,6/26/82,110-16-8579,13341,35
Wilton Guyer,7/8/87,797-61-9077,64942,33
Wilton Lintin,2/14/81,262-32-8249,19155,26
Wilton Stockell,10/1/05,706-01-8118,59589,23
Wilton Tregidga,6/16/64,358-27-4675,86175,37
Windham Ballantine,11/22/89,396-01-8094,71559,22
Windham Bollom,1/9/05,718-01-8265,29061,45
Windham Chapple,1/9/88,597-91-1397,88635,35
Windham Gravestone,9/25/82,876-97-7580,55895,30
Windham Stubbert,10/14/00,872-42-6751,48500,39
Windy Spelling,7/4/56,642-05-0039,99058,32
Windy Tumility,8/10/69,437-75-0050,33600,26
Winfield Duro,9/10/82,445-21-2784,13243,41
Winfield Eardley,4/26/71,644-36-5608,86940,24
Winfield MacVean,1/9/71,791-78-1471,89244,26
Winfield Vallack,4/4/70,379-76-0314,82345,36
Winfred Foulcher,7/23/10,148-61-2710,80394,44
Wini Ambresin,8/1/73,430-70-1078,84887,50
Wini Delos,2/3/02,234-69-3994,15621,35
Wini Ellar,12/25/02,632-39-6351,73490,34
Wini Kidds,6/4/03,733-35-6862,26471,42
Wini Kilbee,6/13/99,328-91-9276,48356,28
Wini Perotti,5/26/75,777-86-4539,49190,22
Wini Soeiro,3/2/53,747-35-0524,8266,48
Winifield Belcham,7/13/51,299-33-9285,98426,25
Winifield Epgrave,1/7/99,746-18-6359,96392,50
Winifield Thumim,2/19/61,664-99-0649,5479,26
Winifred Furlong,5/17/59,826-20-5827,25860,42
Winifred Gimeno,4/27/60,565-21-2272,49090,29
Winifred Plumb,10/26/95,490-16-0522,72604,55
Winn Blondelle,12/19/54,340-84-4415,46889,28
Winn Drivers,6/18/06,806-10-8280,71459,46
Winna Blowne,5/11/71,660-64-2915,76544,22
Winna Borwick,4/25/58,520-78-7974,81896,35
Winna Dobrowski,11/4/82,323-08-8254,82101,22
Winna Gradly,10/20/68,453-87-9111,51400,49
Winna Kock,7/21/82,569-83-2310,92044,38
Winna Presslie,6/17/71,468-75-0706,25183,38
Winna Tirte,7/11/90,356-75-4561,28224,26
Winnah Chapman,12/10/08,823-64-6612,56754,20
Winnah Garz,7/15/64,653-26-2361,56121,37
Winnah Mannie,9/16/58,548-91-0892,56650,18
Winne Aymerich,3/25/93,317-92-3888,89527,53
Winne Kun,1/27/73,407-95-1782,49662,31
Winni Antonellini,12/21/08,524-92-8791,30974,38
Winni Masser,2/14/75,571-55-2193,11575,55
Winni Vaughten,4/21/79,130-97-5021,26118,39
Winnie Glew,6/18/08,154-91-9740,31934,67
Winnie Lombardo,8/2/91,142-17-6274,84198,36
Winnie Over,12/2/81,713-76-4159,62727,19
Winnie Sawkins,9/29/66,400-16-6087,7629,55
Winnie Wells,11/19/99,795-55-7011,39260,17
Winnifred Biggam,11/27/80,471-08-4770,83753,42
Winnifred Middup,3/16/10,453-98-6298,34366,36
Winnifred Stuttard,4/4/66,142-58-7484,7522,81
Winnifred Wrixon,2/23/74,703-16-9776,55575,39
Winny Amar,8/16/12,519-06-3616,8866,38
Winny Barton,9/5/00,320-08-3038,27034,28
Winny Courteney,1/1/82,438-84-2050,55914,40
Winny Delap,8/5/87,659-97-1148,92200,45
Winny Kitto,3/10/65,704-63-8675,47864,57
Winny Layman,7/4/00,499-18-9045,95684,52
Winny Lougheid,11/8/69,512-77-1278,33677,31
Winny Parfrey,5/22/93,505-42-0822,83208,43
Winny Quilligan,1/9/88,673-10-8204,6750,48
Winona Dmiterko,4/20/89,476-84-3442,14389,43
Winona Kermitt,6/21/11,662-90-5151,57317,62
Winona Linford,12/2/10,808-12-0813,19125,53
Winona MacHoste,4/3/72,130-73-6385,74026,22
Winona McCrackem,7/26/51,783-46-5202,64397,59
Winonah Brownsworth,1/8/79,246-66-1756,28581,21
Winonah Hardage,9/12/83,277-19-2696,70901,43
Winonah Winkett,3/23/53,776-43-5741,89620,75
Winslow Bellenie,10/11/95,572-53-8666,41759,45
Winslow Maddicks,5/11/95,382-88-5478,91650,27
